" There are a small handful of cheap places to stay in Agumbe,"	
" For this reason we never stayed long,"	0
 not to mention I am not wholly comfortable watching a live cremation.	1
After taking in all the sights we were returning to our hotel on the small wooden vessel.	1
 the people would never allow that to happen.	0
 surely a sense of empathy dictates that we should not allow the body to be eaten by dogs in the street.	1
"Ten minutes later I found myself back in our hotel room,"	1
" LkW und fremde Autos (bis auf Taxis) müssen neuerdings aus dem Ort draußen bleiben,"	0
 weiß aber leider nichts (zum Glück gibt's Internet: http://www.	0
" und sage """"I just want to stay here and enjoy"""" - was er mit einem """"you enjoy evening time,"	0
" der eine als """"makeup room"""" mit allerlei Farben und Blumen ausgestattet,"	0
"poi alla fine trovo un taxi mi porta in centro ,"	1
traffico impossibile come sempre e caos puro arrivo sul gange i taxinari ci restano male che non entro nei loro hotel o guest house cosi ci hanno perso la loro % .	1
cosi con poca voglia mi prendo posto in un hotel ( parolone ) bettola per morti di fame suona meglio .	1
"arrivo in stazione a katmandi e piglio un bel taxi 8 visto che sono fuori citta ) e sono all'hotel di carol ,"	1
piazzo la roba in una specie di Hotel vicino al taj Mahal e riesco ad buttarmi dentro .	1
Alla fine son tornato all'hotel dove un socio di Ambrogio mi ha portato in altra stazione dove ho lasciato Agra per arrivare a Varanasi di primo mattino .	1
We extended our stay in Hampi by another 4 nights.	1
We found a lovely room in a guesthouse with a balcony overlooking the Ganges.	1
 Exactly what we wanted and it was the first room we looked at.	1
 They only have one room and the restaurant that's above it is one of the best in Varanasi.	1
 Only men are allowed at the cremations because women cry too much (so I was told) and in previous years the women threw themselves onto the fires out of desperation of losing the main breadwinner.	0
 You can watch the procedures but it's very likely that a 'guide' will approach you and ask you to follow him to a place where you are 'allowed' to watch.	1
I was glad that I went to the smaller burning that first - it's not as 'commercial' there and I did get some interesting information there without paying.	1
 the accommodation wasn’t perfect as we were confined to the lodge compound between 5.	1
 Finally the weather here is dry like Adelaide which we much preferred to that of South East Asia and we had a large group of volunteers to socialise with whereas at Phnom Tamao we were alone.	1
30am due to the horrible traffic congestion we headed straight to the airport arriving around 2pm while the others who were staying another week went into town to shop and have dinner.	0
" check in was efficient but strangely they have separate departure gates for men and women,"	1
The climate in Delhi was much cooler so it was fortunate that our driver Jitu and his boss Asif were waiting for us at the arrivals gate; Asif speaks French with an English accent which is very peculiar.	1
 It took quite some time to find our hotel but eventually we arrived around 8pm and enjoyed the buffet dinner before Ruth had herself a hot bath.	1
 where we gorged ourselves silly because it was included in the room price and we had no idea when we would eat again.	0
"The hotel was our next port of call Jitu suggesting one that was average but clean enough,"	1
" this wasn’t why we didn’t stay here that was the fault of the hotel manager who tried to charge me an exorbitant price for his rooms,"	0
" I slid the paper covers over my shoes so that my sandals wouldn’t damage the marble and joined the small foreigners queue to the left of the mausoleums entrance,"	1
" photography is not allowed inside but that did not deter the Indian’s in the least,"	0
 Ruth waited outside with my sandals.	1
" 12 hours in an AC Tier 2 Sleeper Class,"	0
 my siblings-in-law reliably inform me they are made of lentils and peas and are delicious.	1
 Sticking fastidiously to the rules (ie.	0
"After the disappointment of Ranthambore,"	0
 we decided to do things the easy way round in Agra and hired a rickshaw driver for the whole day.	1
 our plans were derailed when we found out that our train was no longer passing through Agra and that we would have to travel 60km by taxi to another town to catch our train!	0
 with a beautiful view of the Taj Mahal from our hotel window.	0
"Hotel was a bit crappy - not so clean,"	0
 Our guide was a nice enough guy ( I think ).	1
Enough said.	0
 He also took us up a mountain to a cave which is again where Buddha stayed for 6 years and is also a place of pilgimage and worship.	1
But the place that will stay with us the most is the Mahabodhi Temple.	1
" talking about all the different issues relating to the pursuit of true democracy in India that I'll bet was really interesting (I couldn't go due to my not being a youth anymore,"	1
" Mom got sick that night and stayed that way for the next few days,"	1
 waiting for the marble shop outside the Taj Mahal to open.	1
 very comforting after having spent so much time here.	1
" who is a taxi driver here,"	1
" So I was happy in the end that we wound up staying in Jaipur,"	1
"We came toAgra on the bus and it was a pretty decent ride,"	1
" at a shop in the middle of an industrial wasteland,"	1
" We went into a shop to buy a postcard from a 12 year-old boy and wound up walking out with two marble tea light holders (one of those incredibly smooth salespeople that I apparently cannot resist),"	1
 Another 5 hour drive this morning and we're now waiting in the Hotel Radisson before we board the overnight sleeper to Agra at 17:45 which should be .	1
 so we will have to resort to hotel Internet and cyber-shacks for the time being.	0
" wait for a gap in the traffic,"	0
a) Blare your horn maintaining your current course of direction and speed.	1
" This allows you to drive a car,"	1
 Will provide an update on Bodh Gaya when we get to Agra (Internet-access notwithstanding).	1
 men aren't allowed during the birth of their children and woman are not allowed at the funerals.	0
" a coffee shop and bakery,"	1
We stayed 2 nights at Hotel Divya which had a great location near Assi Ghat but only had hot water for a few hours a day.	0
 The food next door at Haifa Hotel was a great value and good.	1
 Still not plucked up enough courage to try the Steamed Idli for breakfast.	0
 other than the length of the queues to get in.	0
